Subscriber Count,Channel Views,Channel Category,Channel Name,Video Uploads,Country,Channel Sub-Category,Rank by Video Views,Country Rank,Channel Category Rank,Views in December,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,December Subscriber Gain,Channel Created Year,Gross tertiary education enrollment(%),Population,Unemployment Rate(%),Urban Population,Continent
245000000,228000000000,Music,T-Series,20082,India,Music,1,1,1,2258000000,564600,9000000,6800000,108400000,2000000,2006,28.1,1366417754,5.36,471031528,AS
166000000,28368841870,Entertainment,MrBeast,741,United States,Entertainment,48,1,1,1348000000,337000,5400000,4000000,64700000,8000000,2012,88.2,328239523,14.7,270663028,nan
162000000,164000000000,Education,Cocomelon - Nursery Rhymes,966,United States,Education,2,2,1,1975000000,493800,7900000,5900000,94800000,1000000,2006,88.2,328239523,14.7,270663028,nan
159000000,148000000000,Shows,SET India,116536,India,Entertainment,3,2,2,1824000000,455900,7300000,5500000,87500000,1000000,2006,28.1,1366417754,5.36,471031528,AS
106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,People,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,81.9,144373535,4.59,107683889,EU
98900000,77180169894,Entertainment,Vlad and Niki,574,United States,Entertainment,8,5,6,580574000,145100,2300000,1700000,27900000,600000,2018,88.2,328239523,14.7,270663028,nan
96700000,57856289381,Music,Zee Music Company,8548,India,Music,12,3,2,803613000,200900,3200000,2400000,38600000,1100000,2014,28.1,1366417754,5.36,471031528,AS
96000000,77428473662,Sports,WWE,70127,United States,Sports,7,6,1,714614000,178700,2900000,2100000,34300000,600000,2007,88.2,328239523,14.7,270663028,nan
89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,Music,32,1,3,498930000,124700,2000000,1500000,23900000,700000,2016,94.3,51709098,4.15,42106719,AS
83000000,101000000000,Shows,Sony SAB,71270,India,Entertainment,4,5,7,1657000000,414300,6600000,5000000,79600000,1100000,2007,28.1,1366417754,5.36,471031528,AS
75600000,20826993957,Music,BANGTANTV,2281,South Korea,Music,112,2,4,168290000,42100,673200,504900,8100000,400000,2012,94.3,51709098,4.15,42106719,AS
71600000,30608119724,Music,Justin Bieber,249,Canada,Music,38,1,6,176326000,44100,705300,529000,8500000,100000,2007,68.9,36991981,5.56,30628482,nan
71300000,28634566938,Music,HYBE LABELS,1337,South Korea,Music,46,3,5,598173000,149500,2400000,1800000,28700000,900000,2008,94.3,51709098,4.15,42106719,AS
70500000,73139054467,Entertainment,Zee TV,129204,India,Entertainment,9,6,8,1707000000,426800,6800000,5100000,81900000,900000,2005,28.1,1366417754,5.36,471031528,AS
68200000,38843229963,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,Education,23,8,2,473387000,118300,1900000,1400000,22700000,600000,2011,88.2,328239523,14.7,270663028,nan
65900000,45757850229,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,Education,18,7,3,420292000,105100,1700000,1300000,20200000,500000,2013,28.1,1366417754,5.36,471031528,AS
65600000,28648024439,Music,Shemaroo Filmi Gaane,8502,India,Music,47,8,8,254961000,63700,1000000,764900,12200000,400000,2010,28.1,1366417754,5.36,471031528,AS
64600000,61510906457,Shows,Colors TV,112915,India,Entertainment,10,9,9,1188000000,296900,4800000,3600000,57000000,1100000,2008,28.1,1366417754,5.36,471031528,AS
59500000,16241549158,Sports,Dude Perfect,389,United States,Sports,182,9,3,141200000,35300,564800,423600,6800000,100000,2009,88.2,328239523,14.7,270663028,nan
59500000,59316472754,Film & Animation,Movieclips,39113,United States,Film,11,9,3,114668000,28700,458700,344000,5500000,100000,2006,88.2,328239523,14.7,270663028,nan
59300000,33431802698,Music,Tips Official,4741,India,Music,30,11,10,422634000,105700,1700000,1300000,20300000,600000,2007,28.1,1366417754,5.36,471031528,AS
58400000,57271630846,Music,El Reino Infantil,1510,Argentina,Music,13,1,11,611828000,153000,2400000,1800000,29400000,600000,2011,90,44938712,9.79,41339571,SA
58000000,40602020243,Music,Wave Music,19487,India,Music,21,12,12,232025000,58000,928100,696100,11100000,500000,2014,28.1,1366417754,5.36,471031528,AS
57600000,25307753534,News & Politics,Aaj Tak,283775,India,News,71,13,1,461148000,115300,1800000,1400000,22100000,500000,2009,28.1,1366417754,5.36,471031528,AS
57200000,28837144516,Music,Sony Music India,3882,India,Music,45,14,13,259310000,64800,1000000,777900,12400000,300000,2009,28.1,1366417754,5.36,471031528,AS
56900000,27073872856,Music,EminemMusic,156,United States,Music,59,10,14,260193000,65000,1000000,780600,12500000,300000,2007,88.2,328239523,14.7,270663028,nan
56400000,14696003229,Entertainment,Marshmello,436,United States,Music,233,11,15,112100000,28000,448400,336300,5400000,100000,2015,88.2,328239523,14.7,270663028,nan
54600000,35302243691,Film & Animation,YRF,3707,India,Music,28,15,16,512093000,128000,2000000,1500000,24600000,500000,2006,28.1,1366417754,5.36,471031528,AS
53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,Music,39,1,18,202720000,50700,810900,608200,9700000,100000,2006,60,66834405,3.85,55908316,EU
53300000,30516172739,Education,Infobells - Hindi,577,India,Education,37,16,4,815949000,204000,3300000,2400000,39200000,1600000,2014,28.1,1366417754,5.36,471031528,AS
52900000,29884657286,Music,Taylor Swift,216,United States,Music,40,13,19,528392000,132100,2100000,1600000,25400000,800000,2006,88.2,328239523,14.7,270663028,nan
52700000,24004842608,Music,Ariana Grande,147,United States,Music,78,14,20,160216000,40100,640900,480600,7700000,100000,2007,88.2,328239523,14.7,270663028,nan
52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & CartÃ¯Â¿Â½,847,United States,Education,450,15,5,266747000,66700,1100000,800200,12800000,600000,2013,88.2,328239523,14.7,270663028,nan
48100000,14631710289,Gaming,JuegaGerman,2052,Chile,Games,237,1,2,66388000,16600,265600,199200,3200000,200000,2013,88.5,18952038,79,16610135,SA
47900000,13626331061,Music,Billie Eilish,65,United States,Music,263,16,21,146862000,36700,587400,440600,7000000,200000,2013,88.2,328239523,14.7,270663028,nan
47500000,30788679536,Entertainment,Get Movies,3322,Russia,Film,35,1,4,306540000,76600,1200000,919600,14700000,700000,2006,81.9,144373535,4.59,107683889,EU
47400000,22519705183,Entertainment,Shemaroo,11451,India,Entertainment,97,17,10,232744000,58200,931000,698200,11200000,500000,2007,28.1,1366417754,5.36,471031528,AS
46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States,Music,55,17,22,314505000,78600,1300000,943500,15100000,400000,2009,88.2,328239523,14.7,270663028,nan
46300000,22936630813,Gaming,aefour,1,Cuba,People,4053056,99,5359,94,02,0.38,0.28,5,10,2006,41.4,11333483,1.64,8739135,nan
46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,Games,419,1,3,33842000,8500,135400,101500,1600000,200000,2011,29.4,6453553,4.11,4694702,nan
45500000,21388725229,Entertainment,Voot Kids,4660,India,Entertainment,105,18,13,233988000,58500,936000,702000,11200000,400000,2016,28.1,1366417754,5.36,471031528,AS
45200000,16602198273,Entertainment,Felipe Neto,4331,Brazil,Entertainment,174,2,14,130359000,32600,521400,391100,6300000,200000,2006,51.3,212559417,128,183241641,SA
44700000,7828610828,Entertainment,VocÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,1558,Brazil,Entertainment,681,3,15,48032000,12000,192100,144100,2300000,100000,2013,51.3,212559417,128,183241641,SA
44600000,41139050371,Entertainment,HAR PAL GEO,100755,Pakistan,Entertainment,20,1,15,1337000000,334300,5300000,4000000,64200000,1300000,2008,9,216565318,4.45,79927762,AS
44200000,25458952022,Music,Katy Perry,128,United States,Music,70,19,24,134242000,33600,537000,402700,6400000,100000,2008,88.2,328239523,14.7,270663028,nan
44200000,50292540392,People & Blogs,ABS-CBN Entertainment,193890,Philippines,Entertainment,16,1,16,176629000,44200,706500,529900,8500000,300000,2008,35.5,108116615,2.15,50975903,AS
43500000,27568757295,People & Blogs,Shakira,326,Colombia,Howto,52,1,3,353412000,88400,1400000,1100000,17000000,500000,2005,55.3,50339443,9.71,40827302,SA
43200000,36458726976,Film & Animation,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Ã½Ã½ Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,1478,Russia,Education,26,2,6,303780000,75900,1200000,911300,14600000,300000,2011,81.9,144373535,4.59,107683889,EU
43200000,37939780685,Entertainment,ARY Digital HD,109871,Pakistan,Entertainment,24,2,18,1149000000,287300,4600000,3400000,55200000,900000,2016,9,216565318,4.45,79927762,AS
42500000,26820902622,Music,Speed Records,10938,India,Music,62,19,26,159757000,39900,639000,479300,7700000,100000,2012,28.1,1366417754,5.36,471031528,AS
